Applicant_ID,Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Monthly_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Debt_to_Income_Ratio,CIBIL_Score,Property_Area,Loan_Purpose,Bank_Balance,Previous_Default,Employment_Experience,EMI,Loan_Status
APP100040,32,Male,Unmarried,Graduate,Self-Employed,1012706.4,84392.2,167593.83,240,739,1,3.72,768,Urban,Education,104992.13,0,2,1813.39,Approved
APP100041,42,Male,Married,Graduate,Salaried,1231578.45,102631.54,150647.4,240,772,0,1.41,736,Semiurban,Car,334216.07,0,22,1452.03,Approved
APP100042,36,Male,Unmarried,Graduate,Salaried,937735.66,78144.64,185925.22,84,794,0,3.86,713,Semiurban,Business,239470.66,0,2,3017.88,Approved
APP100043,25,Female,Unmarried,Graduate,Salaried,126653.19,10554.43,91935.36,180,557,2,34.2,596,Urban,Business,5139.61,1,6,1317.29,Rejected
APP100044,34,Male,Married,Not Graduate,Salaried,957541.8,79795.15,110772.31,360,737,1,2.56,783,Urban,Business,265063.73,0,6,1073.11,Approved
APP100045,26,Male,Married,Not Graduate,Salaried,766538.08,63878.17,116179.08,180,726,0,2.18,695,Rural,Car,266905.9,0,1,1393.17,Approved
APP100046,52,Female,Married,Not Graduate,Salaried,318065.79,26505.48,156247.95,360,567,0,8.82,658,Urban,Home,13488.35,0,1,2337.6,Rejected
APP100047,34,Female,Unmarried,Graduate,Salaried,331776.63,27648.05,234213.91,360,577,0,12.19,540,Urban,Business,20849.75,0,2,3370.04,Rejected
APP100048,35,Male,Married,Graduate,Salaried,865394.94,72116.24,118544.37,84,809,1,4.74,757,Semiurban,Home,101537.96,0,1,1941.46,Approved
APP100049,36,Female,Unmarried,Graduate,Salaried,250304.6,20858.72,59973.96,300,537,2,14.11,587,Urban,Education,2448.3,0,3,942.18,Rejected
APP100050,45,Female,Unmarried,Graduate,Salaried,211596.78,17633.07,108542.52,180,624,1,19.03,664,Urban,Business,18164.8,0,1,1766.02,Rejected
APP100051,31,Female,Unmarried,Graduate,Self-Employed,305383.33,25448.61,173047.05,180,617,2,36.36,556,Urban,Home,24877.65,0,2,2900.29,Rejected
APP100052,29,Male,Married,Not Graduate,Salaried,925259.28,77104.94,198875.75,180,749,0,2.88,765,Urban,Education,135800.58,0,5,2223.02,Approved
APP100053,44,Female,Married,Graduate,Salaried,50000.0,4166.67,21195.38,84,610,3,41.13,614,Urban,Business,7079.24,1,3,468.11,Rejected
APP100054,46,Female,Unmarried,Graduate,Salaried,1169890.74,97490.89,184123.21,120,728,0,2.52,701,Semiurban,Education,246355.41,0,2,2458.05,Approved
APP100055,25,Female,Married,Graduate,Salaried,1070322.75,89193.56,117767.93,180,721,0,1.51,767,Semiurban,Business,289983.89,0,1,1344.4,Approved
APP100056,30,Male,Unmarried,Not Graduate,Salaried,308636.4,25719.7,183970.54,120,486,5,91.94,604,Urban,Car,16242.98,0,4,3390.13,Rejected
APP100057,24,Female,Unmarried,Graduate,Salaried,1061693.08,88474.42,218824.24,300,809,2,6.06,838,Urban,Personal,261906.62,0,2,1939.91,Approved
APP100058,44,Male,Married,Graduate,Salaried,992855.58,82737.96,202309.92,240,747,0,2.39,724,Urban,Car,202323.74,0,0,1980.33,Approved
APP100059,47,Male,Married,Graduate,Salaried,406245.95,33853.83,307324.53,180,633,2,40.79,570,Semiurban,Personal,6835.36,1,5,4367.29,Rejected
APP100060,38,Male,Married,Graduate,Contract,737744.57,61478.71,172467.99,240,769,1,5.6,718,Urban,Education,257439.22,0,6,1595.86,Approved
APP100061,43,Female,Married,Not Graduate,Salaried,870758.22,72563.18,164490.98,120,759,0,2.9,813,Semiurban,Business,272014.16,0,3,2103.38,Approved
APP100062,27,Female,Unmarried,Graduate,Salaried,154639.54,12886.63,155669.6,180,556,1,37.61,570,Urban,Education,35795.86,0,9,2349.13,Rejected
APP100063,35,Female,Married,Graduate,Salaried,977390.88,81449.24,144866.85,240,726,0,1.8,777,Urban,Car,237314.4,0,6,1465.74,Approved
APP100064,37,Male,Unmarried,Graduate,Salaried,190952.19,15912.68,106256.07,240,614,2,21.62,685,Urban,Business,3569.82,1,3,1484.71,Rejected
APP100065,35,Female,Married,Graduate,Self-Employed,177199.71,14766.64,97376.43,360,557,2,26.53,569,Rural,Car,24846.19,0,1,1575.4,Rejected
APP100066,49,Male,Married,Graduate,Salaried,451896.61,37658.05,247387.78,120,551,1,19.57,472,Urban,Home,0.0,1,8,4062.76,Rejected
APP100067,41,Male,Married,Graduate,Self-Employed,230817.85,19234.82,84793.73,240,579,2,19.36,575,Semiurban,Home,17007.07,1,1,1142.79,Rejected
APP100068,37,Female,Unmarried,Graduate,Self-Employed,893245.98,74437.16,160625.38,360,795,2,5.23,837,Urban,Education,135570.25,0,2,1366.84,Approved
APP100069,37,Male,Married,Not Graduate,Self-Employed,323214.06,26934.5,300010.3,360,572,0,17.42,581,Urban,Home,11024.48,0,3,4692.7,Rejected
APP100070,34,Female,Unmarried,Graduate,Salaried,1083769.85,90314.15,190974.59,300,746,0,2.01,766,Semiurban,Personal,167834.66,0,1,1811.14,Approved
APP100071,39,Female,Unmarried,Not Graduate,Salaried,926937.27,77244.77,93874.21,180,768,0,1.29,779,Rural,Education,189389.3,0,1,993.28,Approved
APP100072,30,Female,Unmarried,Graduate,Self-Employed,240946.67,20078.89,119184.01,180,611,1,16.92,619,Semiurban,Home,33329.94,1,1,2037.42,Rejected
APP100073,19,Female,Married,Graduate,Self-Employed,220373.26,18364.44,103604.9,60,657,2,44.31,702,Semiurban,Personal,31014.57,1,0,2397.21,Rejected
APP100074,28,Male,Unmarried,Graduate,Salaried,792679.25,66056.6,104828.5,360,726,0,1.5,756,Semiurban,Business,172081.22,0,10,989.64,Approved
APP100075,33,Male,Unmarried,Not Graduate,Salaried,773513.01,64459.42,64974.22,180,828,0,0.97,763,Rural,Personal,140602.35,0,6,624.36,Approved
APP100076,53,Male,Married,Graduate,Salaried,199338.95,16611.58,106975.11,180,617,1,16.1,617,Urban,Home,0.0,1,3,1513.5,Rejected
APP100077,32,Male,Unmarried,Graduate,Self-Employed,780596.12,65049.68,55260.9,360,748,0,0.84,740,Rural,Business,55748.83,0,24,544.21,Approved
APP100078,31,Male,Married,Graduate,Salaried,264679.3,22056.61,132819.38,84,550,1,21.31,467,Semiurban,Home,42820.98,1,0,2592.95,Rejected
APP100079,41,Female,Married,Graduate,Salaried,945797.97,78816.5,185260.31,180,773,1,3.91,727,Rural,Home,244701.58,0,0,1867.78,Approved
APP100080,33,Female,Married,Graduate,Self-Employed,101497.78,8458.15,20000.0,240,604,2,8.8,551,Urban,Education,6065.3,1,2,320.98,Rejected
APP100081,47,Female,Married,Graduate,Salaried,1016935.01,84744.58,144336.42,240,750,0,1.5,783,Urban,Personal,203966.28,0,0,1269.19,Approved
APP100082,44,Female,Married,Graduate,Salaried,916675.82,76389.65,70997.77,180,726,0,1.02,762,Rural,Personal,58616.21,0,17,775.77,Approved
APP100083,34,Female,Unmarried,Not Graduate,Contract,934347.36,77862.28,44897.2,120,756,0,0.73,773,Rural,Education,242316.63,0,1,571.35,Approved
APP100084,43,Female,Married,Graduate,Salaried,829884.85,69157.07,109631.48,120,765,0,2.06,797,Urban,Car,225952.0,0,1,1422.5,Approved
APP100085,48,Male,Unmarried,Not Graduate,Contract,221289.33,18440.78,204870.09,84,699,2,57.54,693,Rural,Education,24901.98,0,0,3844.05,Rejected
APP100086,38,Male,Unmarried,Graduate,Salaried,247073.72,20589.48,159275.52,360,638,2,35.29,556,Semiurban,Personal,35840.85,1,1,2275.66,Rejected
APP100087,36,Male,Married,Graduate,Salaried,249227.08,20768.92,188870.96,360,533,0,11.61,549,Semiurban,Personal,33281.88,0,1,2411.25,Rejected
APP100088,44,Male,Married,Not Graduate,Salaried,196844.31,16403.69,138427.94,240,657,1,19.59,630,Semiurban,Home,30876.44,1,30,1565.77,Rejected
APP100089,37,Male,Married,Graduate,Salaried,1060522.54,88376.88,170388.52,84,754,0,3.1,743,Urban,Car,48510.83,0,2,2741.5,Approved
APP100090,42,Male,Unmarried,Graduate,Salaried,1085356.76,90446.4,87758.31,300,794,0,0.77,768,Urban,Business,167483.02,0,0,699.32,Approved
APP100091,29,Female,Married,Not Graduate,Self-Employed,928363.87,77363.66,180562.89,180,791,0,2.31,842,Urban,Business,140895.77,0,8,1785.34,Approved
APP100092,28,Male,Unmarried,Not Graduate,Salaried,228628.78,19052.4,89029.65,360,541,2,22.98,746,Urban,Business,22773.51,1,11,1331.51,Rejected
APP100093,29,Male,Married,Not Graduate,Self-Employed,951259.34,79271.61,123960.63,240,747,1,3.01,741,Semiurban,Personal,147338.12,0,5,1355.24,Approved
APP100094,33,Female,Married,Graduate,Salaried,204981.07,17081.76,182534.32,300,515,0,17.29,515,Urban,Home,13201.27,0,1,2953.35,Rejected
APP100095,40,Male,Married,Not Graduate,Salaried,1013378.24,84448.19,178212.54,300,749,0,2.08,818,Urban,Car,280166.82,0,6,1757.98,Approved
APP100096,33,Male,Married,Graduate,Salaried,50000.0,4166.67,30196.17,120,601,3,49.1,632,Urban,Personal,26577.14,1,3,488.74,Rejected
APP100097,44,Male,Unmarried,Graduate,Salaried,776496.12,64708.01,161248.68,180,790,1,4.13,763,Semiurban,Personal,229697.03,0,5,1579.78,Approved
APP100098,34,Female,Married,Graduate,Contract,653521.68,54460.14,77887.97,120,776,0,1.76,761,Semiurban,Education,99186.82,0,14,956.63,Approved
APP100099,35,Female,Married,Graduate,Self-Employed,287772.77,23981.06,236776.48,360,674,1,19.65,546,Urban,Education,36717.74,0,14,2710.56,Rejected
APP100100,29,Female,Unmarried,Graduate,Contract,375221.29,31268.44,276760.74,120,521,3,64.07,611,Semiurban,Home,24524.29,0,7,5343.95,Rejected
APP100101,35,Male,Married,Graduate,Salaried,949776.58,79148.05,133400.69,120,772,1,4.32,760,Semiurban,Personal,344347.85,0,4,1710.23,Approved
APP100102,32,Male,Married,Not Graduate,Salaried,249929.14,20827.43,146651.79,180,558,2,26.93,534,Urban,Education,13449.2,0,5,2394.72,Rejected
APP100103,34,Male,Married,Graduate,Salaried,992254.53,82687.88,53771.9,180,757,0,0.69,739,Rural,Car,299575.04,0,0,567.83,Approved
APP100104,38,Male,Unmarried,Graduate,Salaried,315752.44,26312.7,200398.06,180,701,2,29.08,568,Semiurban,Car,17273.37,0,1,2380.35,Rejected
APP100105,35,Male,Married,Graduate,Salaried,348315.22,29026.27,293516.97,300,517,2,41.35,683,Urban,Personal,10205.63,0,0,4355.11,Rejected
APP100106,40,Male,Unmarried,Graduate,Salaried,50000.0,4166.67,20188.34,300,640,3,22.71,531,Rural,Personal,37911.64,1,1,272.88,Rejected
APP100107,25,Male,Married,Not Graduate,Salaried,264201.54,22016.8,184490.62,120,495,2,47.03,607,Urban,Home,22168.92,1,1,3300.58,Rejected
APP100108,43,Male,Unmarried,Graduate,Self-Employed,1049329.87,87444.16,93274.31,360,785,0,0.91,741,Semiurban,Home,96070.67,0,9,798.84,Approved
APP100109,33,Male,Married,Not Graduate,Salaried,53489.94,4457.5,63367.99,240,615,2,61.48,580,Urban,Personal,20808.81,0,7,961.97,Rejected
APP100110,36,Female,Unmarried,Graduate,Self-Employed,272992.65,22749.39,140727.01,60,587,4,59.27,571,Rural,Personal,14115.28,0,3,3493.9,Rejected
APP100111,29,Male,Unmarried,Graduate,Salaried,403372.77,33614.4,135045.36,300,574,4,21.57,590,Urban,Home,14603.47,0,5,1782.98,Rejected
APP100112,34,Female,Married,Graduate,Contract,223274.39,18606.2,102646.51,180,620,1,18.13,522,Semiurban,Car,22605.15,0,4,1705.05,Rejected
APP100113,29,Male,Unmarried,Graduate,Salaried,267682.09,22306.84,214877.82,240,689,1,19.82,674,Rural,Home,37848.67,0,4,2508.08,Rejected
APP100114,33,Female,Married,Not Graduate,Salaried,748953.08,62412.76,170041.78,360,716,0,2.61,802,Semiurban,Car,89403.21,0,7,1630.15,Approved
APP100115,28,Female,Married,Not Graduate,Salaried,1004637.99,83719.83,74121.42,240,767,0,0.82,768,Rural,Business,221108.14,0,11,686.16,Approved
APP100116,29,Male,Married,Graduate,Self-Employed,769422.43,64118.54,143985.19,120,742,3,12.92,767,Semiurban,Education,206076.42,0,4,2002.48,Approved
APP100117,31,Male,Unmarried,Graduate,Self-Employed,396979.89,33081.66,200123.54,180,574,4,50.33,681,Urban,Personal,25742.93,0,12,3151.16,Rejected
APP100118,31,Male,Married,Not Graduate,Salaried,246942.98,20578.58,186676.82,240,689,6,76.19,605,Rural,Personal,18438.14,0,2,2155.84,Rejected
APP100119,39,Female,Married,Graduate,Salaried,861756.63,71813.05,115754.18,240,791,0,1.52,695,Urban,Home,229398.53,0,14,1092.31,Approved
APP100120,38,Male,Unmarried,Graduate,Salaried,157361.89,13113.49,107791.83,180,606,1,20.46,704,Semiurban,Education,15784.71,0,0,1547.72,Rejected
APP100121,44,Female,Unmarried,Graduate,Self-Employed,781511.1,65125.92,40699.47,240,734,1,1.31,811,Urban,Personal,242415.3,0,10,393.95,Approved
APP100122,27,Female,Married,Graduate,Self-Employed,209189.92,17432.49,78991.49,240,438,0,7.15,615,Semiurban,Home,59311.9,0,1,1246.09,Rejected
APP100123,43,Male,Married,Graduate,Salaried,885092.95,73757.75,123980.43,240,749,0,1.63,796,Urban,Business,197054.92,0,3,1198.99,Approved
APP100124,39,Female,Married,Not Graduate,Salaried,787682.46,65640.21,175538.13,180,737,1,5.23,757,Urban,Car,129192.02,0,3,1896.09,Approved
APP100125,33,Male,Unmarried,Not Graduate,Salaried,461013.56,38417.8,417326.65,240,627,4,57.98,687,Semiurban,Home,36113.71,1,0,5758.98,Rejected
APP100126,40,Male,Unmarried,Not Graduate,Salaried,103379.22,8614.93,67927.28,360,555,3,50.88,497,Semiurban,Car,35508.88,0,7,1058.24,Rejected
APP100127,44,Female,Unmarried,Graduate,Salaried,836859.17,69738.26,100022.75,240,765,0,1.24,776,Semiurban,Business,134607.93,0,1,864.06,Approved
APP100128,37,Female,Unmarried,Not Graduate,Salaried,247214.44,20601.2,132380.13,180,498,5,56.62,584,Urban,Education,0.0,0,1,2197.07,Rejected
APP100129,39,Female,Unmarried,Not Graduate,Contract,339500.87,28291.74,278348.44,60,746,1,37.5,529,Urban,Car,15561.22,0,8,5936.08,Rejected
APP100130,26,Male,Married,Graduate,Contract,361336.05,30111.34,274549.51,240,500,0,12.48,511,Rural,Education,40190.94,0,2,3756.42,Rejected
APP100131,33,Male,Married,Not Graduate,Contract,306048.14,25504.01,152672.32,240,637,1,18.88,653,Semiurban,Home,49312.36,0,5,2223.81,Rejected
APP100132,36,Male,Married,Not Graduate,Self-Employed,908111.52,75675.96,78641.81,180,720,1,2.59,827,Rural,Personal,185668.02,0,2,912.27,Approved
APP100133,36,Male,Unmarried,Graduate,Salaried,134898.59,11241.55,59238.94,180,551,4,51.41,591,Rural,Home,29442.94,0,2,997.49,Rejected
APP100134,44,Male,Married,Graduate,Contract,237988.64,19832.39,109243.05,180,587,0,8.22,555,Urban,Education,10105.97,0,8,1630.64,Rejected
APP100135,31,Female,Married,Graduate,Self-Employed,827392.55,68949.38,135970.79,84,719,1,6.13,729,Rural,Education,215943.78,0,2,2398.33,Approved
APP100136,45,Male,Married,Graduate,Salaried,942328.11,78527.34,122794.69,300,757,0,1.22,706,Semiurban,Car,49138.65,0,4,957.04,Approved
APP100137,44,Female,Married,Graduate,Self-Employed,1002253.6,83521.13,146592.41,180,751,0,1.78,785,Rural,Car,336215.72,0,22,1483.91,Approved
APP100138,37,Male,Married,Not Graduate,Self-Employed,793682.24,66140.19,158841.65,360,811,0,2.08,762,Urban,Business,178900.37,0,8,1378.09,Approved
APP100139,36,Male,Married,Not Graduate,Salaried,867037.43,72253.12,92036.34,240,698,1,3.28,787,Urban,Personal,299059.04,0,4,1079.12,Approved
APP100140,32,Male,Married,Not Graduate,Self-Employed,980837.88,81736.49,134291.17,180,740,0,1.96,773,Urban,Car,142836.24,0,4,1598.05,Approved
APP100141,38,Male,Unmarried,Not Graduate,Salaried,1104772.31,92064.36,268048.96,240,816,1,4.42,763,Urban,Home,182687.11,0,7,2503.08,Approved
APP100142,47,Male,Unmarried,Graduate,Self-Employed,232236.33,19353.03,161890.3,240,553,2,26.38,641,Semiurban,Home,23372.73,0,13,2252.21,Rejected
APP100143,41,Female,Unmarried,Graduate,Salaried,732258.88,61021.57,107488.71,360,762,1,3.15,798,Semiurban,Education,184424.22,0,0,890.97,Approved
APP100144,30,Female,Married,Graduate,Salaried,158318.22,13193.18,85372.79,180,566,2,24.15,478,Urban,Home,40849.46,1,12,1236.73,Rejected
APP100145,40,Male,Married,Graduate,Salaried,230949.69,19245.81,121374.57,300,596,1,19.39,629,Rural,Car,51134.56,1,0,1916.65,Rejected
APP100146,43,Male,Unmarried,Not Graduate,Salaried,238594.08,19882.84,122359.68,360,537,0,9.28,536,Urban,Personal,45052.44,1,7,1845.96,Rejected
APP100147,20,Male,Married,Graduate,Salaried,940508.6,78375.72,199926.57,360,763,1,4.21,729,Rural,Car,268174.31,0,0,1701.84,Approved
APP100148,40,Male,Married,Not Graduate,Salaried,259096.9,21591.41,169252.06,240,556,1,25.73,585,Rural,Personal,22860.72,0,0,2623.13,Rejected
APP100149,21,Female,Unmarried,Not Graduate,Salaried,987336.67,82278.06,133209.79,180,702,0,1.78,734,Semiurban,Car,210360.04,0,17,1468.62,Approved
APP100150,38,Male,Married,Graduate,Self-Employed,293338.86,24444.91,203088.25,180,508,2,33.23,430,Urban,Car,27266.7,1,1,3168.18,Rejected
APP100151,37,Male,Married,Graduate,Salaried,1193576.18,99464.68,166706.11,240,761,1,3.2,773,Urban,Business,122981.39,0,5,1595.18,Approved
APP100152,38,Male,Married,Graduate,Self-Employed,266869.13,22239.09,109838.72,240,695,2,17.98,578,Urban,Personal,9415.91,0,16,1216.12,Rejected
APP100153,30,Male,Unmarried,Graduate,Salaried,942183.23,78515.27,94975.23,84,758,0,1.92,740,Urban,Car,108029.66,0,9,1510.27,Approved
APP100154,32,Female,Married,Not Graduate,Salaried,277402.74,23116.89,208590.89,60,588,3,62.18,618,Rural,Business,0.0,1,2,5112.51,Rejected
APP100155,29,Female,Unmarried,Graduate,Salaried,800269.57,66689.13,65352.74,180,734,2,2.45,825,Urban,Business,12979.61,0,2,718.21,Approved
APP100156,18,Male,Married,Graduate,Self-Employed,1089197.72,90766.48,182133.23,120,754,0,2.44,737,Urban,Car,109386.48,0,11,2214.34,Approved
APP100157,33,Male,Married,Graduate,Salaried,323965.32,26997.11,291240.82,360,589,2,40.52,601,Urban,Business,0.0,1,0,4322.97,Rejected
APP100158,44,Female,Married,Graduate,Self-Employed,859647.52,71637.29,95634.32,84,756,0,2.15,733,Urban,Business,254188.76,0,13,1537.94,Approved
APP100159,37,Female,Unmarried,Graduate,Salaried,131393.08,10949.42,67904.81,240,530,1,17.1,494,Rural,Business,18550.64,0,1,943.06,Rejected
APP100160,29,Male,Unmarried,Not Graduate,Self-Employed,213326.85,17777.24,216794.24,84,542,0,23.65,606,Urban,Business,27017.4,0,0,4204.7,Rejected
APP100161,42,Female,Married,Graduate,Salaried,432962.02,36080.17,296617.51,300,489,2,38.66,552,Rural,Home,22777.63,0,2,4449.06,Rejected
APP100162,27,Female,Married,Not Graduate,Salaried,182300.49,15191.71,90258.86,300,572,4,41.18,653,Semiurban,Home,0.0,0,0,1235.83,Rejected
APP100163,24,Female,Married,Graduate,Self-Employed,326580.95,27215.08,176116.06,300,504,0,10.45,701,Semiurban,Business,21183.92,1,0,2843.58,Rejected
APP100164,30,Female,Unmarried,Graduate,Self-Employed,162974.38,13581.2,71779.99,180,600,0,9.12,772,Semiurban,Business,22944.57,0,4,1238.79,Rejected
APP100165,42,Female,Unmarried,Graduate,Self-Employed,320187.58,26682.3,226923.85,120,507,1,24.21,630,Rural,Personal,16652.61,0,4,3974.4,Rejected
APP100166,27,Male,Unmarried,Not Graduate,Salaried,843298.82,70274.9,94539.86,60,806,1,5.91,740,Semiurban,Home,96199.23,0,0,1966.19,Approved
APP100167,45,Male,Unmarried,Not Graduate,Salaried,272659.2,22721.6,153570.01,84,532,0,14.79,596,Urban,Home,8064.65,0,2,3360.14,Rejected
APP100168,48,Female,Married,Graduate,Salaried,758173.97,63181.16,154794.12,240,811,1,3.84,781,Urban,Business,199990.47,0,0,1416.54,Approved
APP100169,46,Male,Married,Graduate,Salaried,894192.93,74516.08,132127.72,60,728,1,8.25,731,Urban,Business,139943.84,0,1,2845.92,Approved
APP100170,42,Female,Unmarried,Graduate,Self-Employed,668140.53,55678.38,160232.15,180,744,0,3.42,824,Urban,Home,240222.75,0,2,1904.81,Approved
APP100171,30,Female,Unmarried,Not Graduate,Salaried,1030661.36,85888.45,203224.1,300,784,1,3.25,696,Urban,Business,53845.72,0,1,1696.2,Approved
APP100172,25,Male,Unmarried,Graduate,Salaried,646898.35,53908.2,101274.04,120,819,0,2.38,736,Urban,Business,232038.51,0,5,1280.42,Approved
APP100173,28,Female,Married,Graduate,Salaried,199644.34,16637.03,99257.07,180,592,0,9.46,575,Urban,Business,15058.41,0,1,1573.52,Rejected
